entered and chekced,Site,Date,month,day,year,Species,notes,Counts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,60,notes
JEA,H1,6/15/18,6,15,2018,redband parrot,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H5,6/5/18,6,5,2018,reef squirrel,,20,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,reef squirrel,,20,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H1,6/15/18,6,15,2018,reef squirrel,,13,,,,,,,,,,9,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,reef squirrel,,10,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H5,6/17/18,6,17,2018,reef squirrel,,21,,,,,,,,11,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LH3,5/21/18,5,21,2018,reef squirrel,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H1,6/15/18,6,15,2018,rock beauty,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW3,5/20/18,5,20,2018,rock hind,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H5,6/5/18,6,5,2018,schoolmaster snapper,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H5,6/17/18,6,17,2018,schoolmaster snapper,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H8,6/19/18,6,19,2018,scorpionfish,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,sergeant major,,2,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock A,6/17/18,6,17,2018,sergeant major,,3,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,sergeant major,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,sergeant major,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LH3,5/21/18,5,21,2018,sergeant major,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,sharpnose puffer,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H1,6/15/18,6,15,2018,sharpnose puffer,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H3,6/22/18,6,22,2018,sharpnose puffer,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,sharpnose puffer,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW2,5/20/18,5,20,2018,sharpnose puffer,,4,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW1,5/20/18,5,20,2018,sharpnose puffer,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW3,5/20/18,5,20,2018,sharpnose puffer,,3,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW4,5/20/18,5,20,2018,sharpnose puffer,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW4,5/20/18,5,20,2018,sharpnose puffer,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES1,5/20/18,5,20,2018,sharpnose puffer,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H8,6/19/18,6,19,2018,slippery dick,,7,,,,,,5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H5,6/5/18,6,5,2018,slippery dick,,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H6,6/5/18,6,5,2018,slippery dick,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,slippery dick,,12,,,,,5,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock A,6/17/18,6,17,2018,slippery dick,,10,,,,,5,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,slippery dick,,7,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H3,6/22/18,6,22,2018,slippery dick,,20,,,,,,10,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,slippery dick,,8,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H5,6/17/18,6,17,2018,slippery dick,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H6,6/17/18,6,17,2018,slippery dick,,11,,,,,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LH2,5/21/18,5,21,2018,slippery dick,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW3,5/20/18,5,20,2018,spanish hogfish,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW4,5/20/18,5,20,2018,spanish hogfish,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW3,5/20/18,5,20,2018,spotfin butterflyfish,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H8,6/19/18,6,19,2018,squirrelfish,,13,,,,,,,,,,5,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H5,6/5/18,6,5,2018,squirrelfish,,10,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H6,6/5/18,6,5,2018,squirrelfish,,80,,,,,,,,10,,10,,50,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,squirrelfish,,18,,,,,,,,,,10,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock A,6/17/18,6,17,2018,squirrelfish,,18,,,,,,,,15,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock B,6/17/18,6,17,2018,squirrelfish,,20,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,squirrelfish,,90,,,,,,,,10,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H1,6/15/18,6,15,2018,squirrelfish,I am sure I didn't count these right,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H3,6/22/18,6,22,2018,squirrelfish,,111,,,,,,,,21,,20,,60,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,squirrelfish,"I didn't put the number of fish here (I have @25), but I did add the note: ""I am way underestimating the squirrels here"" - pretty fucking dumb",30,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H5,6/17/18,6,17,2018,squirrelfish,,16,,,,,,,,5,,10,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H6,6/17/18,6,17,2018,squirrelfish,,67,,,,,,,,10,,25,,30,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW1,5/20/18,5,20,2018,squirrelfish,,3,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW3,5/20/18,5,20,2018,squirrelfish,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,MOW4,5/20/18,5,20,2018,squirrelfish,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,LH3,5/21/18,5,21,2018,squirrelfish,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
,LH2,5/21/18,5,21,2018,squirrelfish,,7,,,,,,,,,,,,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,stoplight parrotfish,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H1,6/15/18,6,15,2018,stoplight parrotfish,,5,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H3,6/22/18,6,22,2018,stoplight parrotfish,,3,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,stoplight parrotfish,,3,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW1,5/20/18,5,20,2018,stoplight parrotfish,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H8,6/19/18,6,19,2018,striped parrotfish,,10,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H5,6/5/18,6,5,2018,striped parrotfish,,10,,,,,,,3,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H6,6/5/18,6,5,2018,striped parrotfish,,6,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock A,6/17/18,6,17,2018,striped parrotfish,,8,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,striped parrotfish,,8,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H3,6/22/18,6,22,2018,striped parrotfish,,34,,,,,,,,19,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,striped parrotfish,,8,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H5,6/17/18,6,17,2018,striped parrotfish,,12,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H5,6/5/18,6,5,2018,surgeonfish,,7,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H6,6/5/18,6,5,2018,surgeonfish,,7,,,,,,1,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,surgeonfish,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,surgeonfish,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,surgeonfish,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H5,6/17/18,6,17,2018,surgeonfish,,3,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW3,5/20/18,5,20,2018,surgeonfish,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
,ES1,5/20/18,5,20,2018,surgeonfish,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,tang,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H1,6/15/18,6,15,2018,tang,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H3,6/22/18,6,22,2018,tang,,3,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,tang,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H5,6/17/18,6,17,2018,tang,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H6,6/17/18,6,17,2018,tang,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,tomtate,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock A,6/17/18,6,17,2018,tomtate,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock B,6/17/18,6,17,2018,tomtate,,8,,,,,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,tomtate,,20,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H1,6/15/18,6,15,2018,tomtate,,17,,,,,,,,,,10,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H3,6/22/18,6,22,2018,tomtate,,120,,,,,,,,40,,40,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,tomtate,,160,,,,,,,,40,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H6,6/17/18,6,17,2018,tomtate,,25,,,,,,,,10,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H6,6/5/18,6,5,2018,trumpetfish,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,trumpetfish,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
JEA,H1,6/15/18,6,15,2018,trumpetfish,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
didn't' double check,H8,6/19/18,6,19,2018,white grunt,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H6,6/5/18,6,5,2018,white grunt,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,white grunt,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,white grunt,,90,,,,,,20,,,,20,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H3,6/22/18,6,22,2018,white grunt,,120,,,,,,,,40,,40,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW2,5/20/18,5,20,2018,white grunt,,141,,,,,50,30,50,,,,,,,,8,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,MOW1,5/20/18,5,20,2018,white grunt,,85,,,,,,15,,,,15,,,,10,30,,,15,,,,,,,,,,,,,,,,,,,,,,,,
,ES1,5/20/18,5,20,2018,white grunt,,30,,,,,,,,,,,,,,,20,,,,,10,,,,,,,,,,,,,,,,,,,,,,
,LH3,5/21/18,5,21,2018,white grunt,,35,,,,,,,,,,,,,,,20,,,,,10,,,,,5,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,yellow goatfish,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,yellowhead wrasse,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW1,5/20/18,5,20,2018,yellowhead wrasse,,5,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW3,5/20/18,5,20,2018,yellowhead wrasse,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LH3,5/21/18,5,21,2018,yellowtail snapper,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,