CommonName,Family,Genus,Species,MumbyColumn ID,ColumnID,Best model,allgeier_FFG,Valdivia_FFG,tp,Valdivia_TP
mahogany snapper,Lutjanidae,Lutjanus,mahogoni,LutjanidaeLutjanusmahogoni,LutjanidaeLutjanussp,genus,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.86
marbled grouper,Serranidae,Dermatolepis,inermis,SerranidaeDermatolepisinermis,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
mardi gras wrasse,Labridae,Halichoeres,burekea,LabridaeHalichoeresburekea,LabridaeHalichoeresbivittatus,species,Microinvertivore,Macroinvertivore,3.5,3.34
margate (white),Haemulidae,Haemulon,album,HaemulidaeHaemulonalbum,HaemulidaeHaemulonsp,genus,Macroinvertivore,Macroinvertivore,3.5,3.18
microspathodon,Pomacentridae,Microspathodon,chrysurus,PomacentridaeMicrospathodonchrysurus,Pomacentridaespsp,family,Herbivores,Herbivore,2.1,2.11
midnight parrotfish,Scaridae,Scarus,coelestinus,ScaridaeScaruscoelestinus,ScaridaeScarussp,genus,Herbivores,Herbivore,2,2
mutton snapper,Lutjanidae,Lutjanus,analis,LutjanidaeLutjanusanalis,LutjanidaeLutjanussp,genus,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.86
nassau grouper,Serranidae,Epinephelus,striatus,SerranidaeEpinephelusstriatus,SerranidaeEpinephelusstriatus,species,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.06
needlefish,Belonidae,Strongylura,timucu,BelonidaeStrongyluratimucu,Belonidaespsp,family,Piscivore,Piscivore Invertivore,4.5,4.47
none,nofish,nofish,sp,nofishsp,nofishsp,speices,none,none,0,0
ocean triggerfish,Balistidae,Canthidermis,sufflamen,BalistidaeCanthidermissufflamen,Balistidaespsp,family,Macroinvertivore,Macroinvertivore,3.2,3.24
orange filefish,Monacanthidae,Aluterus,schoepfi,MonacanthidaeAluterusschoepfi,Tetraodontiformesspsp,order,Microinvertivore,Omnivore,2.6,3.15
orangespotted filefish,Monacanthidae,Cantherhines,pullus,MonacanthidaeCantherhinespullus,Tetraodontiformesspsp,order,Microinvertivore,Omnivore,2.6,3.15
palometa,Carangidae,Trachinotus,goodei,CarangidaeTrachinotusgoodei,Carangidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.81
pearly razorfish,Labridae,Xyrichtys,novacula,LabridaeXyrichtysnovacula,Labridaespsp,family,Macroinvertivore,Macroinvertivore,3.4,3.38
peppermint basslet,Serranidae,Liopropoma,rubre,SerranidaeLiopropomarubre,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
permit,Carangidae,Trachinotus,falcatus,CarangidaeTrachinotusfalcatus,Carangidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.81
porcupinefish,Diodontidae,Diodon,hystrix,DiodontidaeDiodonhystrix,Tetraodontiformesspsp,order,Microinvertivore,Omnivore,2.6,3.15
porgy,Sparidae,Calamus,calamus,SparidaeCalamuscalamus,SparidaeCalamussp,genus,Macroinvertivore,Macroinvertivore,3.3,3.17
porkfish,Haemulidae,Anisotremus,virginicus,HaemulidaeAnisotremusvirginicus,Haemulidaespsp,family,Macroinvertivore,Macroinvertivore,3.5,3.25
princess parrotfish,Scaridae,Scarus,taeniopterus,ScaridaeSparisomataeniopterus,ScaridaeSparisomasp,genus,Herbivores,Herbivore,2,2
puddingwife,Labridae,Halichoeres,radiatus,LabridaeHalichoeresradiatus,LabridaeHalichoeressp,genus,Microinvertivore,Macroinvertivore,3.5,3.5
purple mouth moray,Muraenidae,Gymnothorax,vicinus,MuraenidaeGymnothoraxvicinus,MuraenidaeGymnothoraxsp,genus,Top Predators,Apex predator,4.5,4.01
purplemouth moray,Muraenidae,Gymnothorax,vicinus,MuraenidaeGymnothoraxvicinus,MuraenidaeGymnothoraxsp,genus,Top Predators,Apex predator,4.5,4.01
queen angelfish,Pomacanthidae,Holacanthus,ciliaris,PomacanthidaeHolacanthusciliaris,PomacanthidaeHolacanthussp,genus,omnivore,Macroinvertivore,3,3.25
queen parrotfish,Scaridae,Scarus,vetula,ScaridaeScarusvetula,ScaridaeScarussp,genus,Herbivores,Herbivore,2,2
queen triggerfish,Balistidae,Balistes,vetula,BalistidaeBalistesvetula,BalistidaeBalistessp,genus,Macroinvertivore,Macroinvertivore,3.4,3.4
rainbow parrotfish,Scaridae,Scarus,guacamaia,ScaridaeScarusguacamaia,ScaridaeScarussp,genus,Herbivores,Herbivore,2,2
rainbow wrasse,Labridae,Halichoeres,pictus,LabridaeHalichoerespictus,LabridaeHalichoeressp,genus,Microinvertivore,Macroinvertivore,3.5,3.5
red hind,Serranidae,Epinephelus,guttatus,SerranidaeEpinephelusguttatus,SerranidaeEpinephelussp,genus,Piscivore-Invertivore,Piscivore Invertivore,4.2,3.51
redband parrot,Scaridae,Sparisoma,aurofrenatum,ScaridaeSparisomaaurofrenatum,ScaridaeSparisomasp,genus,Herbivores,Herbivore,2,2
redband parrotfish,Scaridae,Sparisoma,aurofrenatum,ScaridaeSparisomaaurofrenatum,ScaridaeSparisomasp,genus,Herbivores,Herbivore,2,2
redtail parrot,Scaridae,Sparisoma,chrysopterum,ScaridaeSparisomachrysopterum,ScaridaeSparisomachrysopterum,species,Herbivores,Herbivore,2,2
redtail parrotfish,Scaridae,Sparisoma,chrysopterum,ScaridaeSparisomachrysopterum,ScaridaeSparisomachrysopterum,species,Herbivores,Herbivore,2,2
reef butterflyfish,Chaetodontidae,Chaetodon,sedentarius,ChaetodontidaeChaetodonsedentarius,ChaetodontidaeChaetodonsp,genus,Microinvertivore,Microinvertivore,3.2,3.16
reef squirrel,Holocentridae,Sargocentron,coruscum,HolocentridaeSargocentroncoruscum,Holocentridaespsp,family,Macroinvertivore,Macroinvertivore,3.6,3.61
reef squirrelfish,Holocentridae,Sargocentron,coruscum,HolocentridaeSargocentroncoruscum,Holocentridaespsp,family,Macroinvertivore,Macroinvertivore,3.6,3.61
rf,Scaridae,Sparisoma,rubripinne,ScaridaeSparisomarubripinne,ScaridaeSparisomasp,genus,Herbivores,Herbivore,2,2
rock beauty,Pomacanthidae,Holacanthus,tricolor,PomacanthidaeHolacanthustricolor,PomacanthidaeHolacanthussp,genus,omnivore,Macroinvertivore,3,3.25
rock hind,Serranidae,Epinephelus,adscensionis,SerranidaeEpinephelusadscensionis,SerranidaeEpinephelussp,genus,Piscivore-Invertivore,Piscivore Invertivore,4.2,3.51
rosy razorfish,Labridae,Xyrichtys,martinicensis,LabridaeXyrichtysmartinicensis,Labridaespsp,family,Macroinvertivore,Macroinvertivore,3.4,3.38
sailors choice,Haemulidae,Haemulon,parra,HaemulidaeHaemulonparra,HaemulidaeHaemulonparra,species,Macroinvertivore,Piscivore Invertivore,3.5,3.47
scad,Carangidae,Decapterus,sp.,CarangidaeDecapterussp.,Carangidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.81
schoolmaster,Lutjanidae,Lutjanus,apodus,LutjanidaeLutjanusapodus,LutjanidaeLutjanusapodus,species,Piscivore-Invertivore,Piscivore Invertivore,4.4,4.17
schoolmaster snapper,Lutjanidae,Lutjanus,apodus,LutjanidaeLutjanusapodus,LutjanidaeLutjanusapodus,species,Piscivore-Invertivore,Piscivore Invertivore,4.4,4.17
scorpionfish,Scorpaenidae,Pterois,volitans,,ScorpaenidaePteroisvolitans,species,Piscivore-Invertivore,Piscivore Invertivore,4.4,4.45
scrawled filefish,Monacanthidae,Aluterus,scriptus,MonacanthidaeAluterusscriptus,Tetraodontiformesspsp,order,Microinvertivore,Omnivore,2.6,3.15
sergeant major,Pomacentridae,Abudefduf,saxatilis,PomacentridaeAbudefdufsaxatilis,PomacentridaeAbudefdufsp,genus,omnivore,Small Omnivore,3.4,3.41
sharpnose puffer,Tetraodontidae,Canthigaster,rostrata,TetraodontidaeCanthigasterrostrata,TetraodontidaeCanthigasterrostrata,species,omnivore,Omnivore,3,3
shy hamlet,Serranidae,Hypoplectrus,guttavarius,SerranidaeHypoplectrusguttavarius,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
slippery dick,Labridae,Halichoeres,bivittatus,LabridaeHalichoeresbivittatus,LabridaeHalichoeresbivittatus,species,Microinvertivore,Macroinvertivore,3.5,3.34
smallmouth grunt,Haemulidae,Haemulon,chrysargyreum,HaemulidaeHaemulonchrysargyreum,HaemulidaeHaemulonsp,genus,Macroinvertivore,Macroinvertivore,3.5,3.18
smooth trunkfish,Ostraciidae,Lactophrys,triqueter,OstraciidaeLactophrystriqueter,Ostraciidaespsp,family,omnivore,Macroinvertivore,3.5,3.35
soapfish,Serranidae,Rypticus,saponaceus,SerranidaeRypticussaponaceus,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
southern sennet,Sphyraenidae,Sphyraena,picudilla,SphyraenidaeSphyraenapicudilla,SphyraenidaeSphyraenasp,genus,Top Predators,Apex predator,4.5,4.5
spanish grunt,Haemulidae,Haemulon,macrostomum,HaemulidaeHaemulonmacrostomum,HaemulidaeHaemulonsp,genus,Macroinvertivore,Macroinvertivore,3.5,3.18
spanish hogfish,Labridae,Bodianus,rufus,LabridaeBodianusrufus,Labridaespsp,family,Macroinvertivore,Macroinvertivore,3.4,3.38
sparisoma sp.,Scaridae,Sparisoma,sp,ScaridaeSparisomasp,ScaridaeSparisomasp,genus,Herbivores,Herbivore,2,2
spotfin butterfly,Chaetodontidae,Chaetodon,ocellatus,ChaetodontidaeChaetodonocellatus,ChaetodontidaeChaetodonsp,genus,Microinvertivore,Microinvertivore,3.2,3.16
spotfin butterflyfish,Chaetodontidae,Chaetodon,ocellatus,ChaetodontidaeChaetodonocellatus,ChaetodontidaeChaetodonsp,genus,Microinvertivore,Microinvertivore,3.2,3.16
spotted burrfish,Diodontidae,Chilomyceterus,atinga,DiodontidaeChilomyceterusatinga,Tetraodontiformesspsp,order,Microinvertivore,Omnivore,2.6,3.15
spotted goatfish,Mullidae,Pseudupeneus,maculatus,MullidaePseudupeneusmaculatus,Mullidaespsp,family,Macroinvertivore,Microinvertivore,3.3,3.18
spotted moray,Muraenidae,Gymnothorax,moringa,MuraenidaeGymnothoraxmoringa,MuraenidaeGymnothoraxsp,genus,Top Predators,Apex predator,4.5,4.01
spotted trunkfish,Ostraciidae,Lactophrys,bicaudalis,OstraciidaeLactophrysbicaudalis,Ostraciidaespsp,family,omnivore,Macroinvertivore,3.5,3.35
squirrelfish,Holocentridae,Holocentrus,adscensionis,HolocentridaeHolocentrusadscensionis,HolocentridaeHolocentrusadscensionis,species,Macroinvertivore,Macroinvertivore,3.5,3.49
stoplight parrotfish,Scaridae,Sparisoma,viride,ScaridaeSparisomaviride,ScaridaeSparisomasp,genus,Herbivores,Herbivore,2,2
striped parrot,Scaridae,Scarus,iserti,ScaridaeScarusiserti,ScaridaeScarussp,genus,Herbivores,Herbivore,2,2
striped parrotfish,Scaridae,Scarus,iserti,ScaridaeScarusiserti,ScaridaeScarussp,genus,Herbivores,Herbivore,2,2
stripped parrot,Scaridae,Scarus,iserti,ScaridaeScarusiserti,ScaridaeScarussp,genus,Herbivores,Herbivore,2,2
stripped parrotfish,Scaridae,Scarus,iserti,ScaridaeScarusiserti,ScaridaeScarussp,genus,Herbivores,Herbivore,2,2
sunshinefish,Pomacentridae,Chromis,insolata,PomacentridaeChromisinsolata,PomacentridaeChromissp,genus,Planktivores,Planktivore,3.1,3.1
surgeonfish,Acanthuridae,Acanthurus,bahianus,AcanthuridaeAcanthurusbahianus,AcanthuridaeAcanthurussp,genus,Herbivores,Herbivore,2,2
tang,Acanthuridae,Acanthurus,coeruleus,AcanthuridaeAcanthuruscoeruleus,AcanthuridaeAcanthuruscoeruleus,species,Herbivores,Herbivore,2,2.01
threespot damsel,Pomacentridae,Stegastes,planifrons,PomacentridaeStegastesplanifrons,PomacentridaeStegastessp,genus,Herbivores,Herbivore,2,2
threespot goatfish,Mullidae,Pseudupeneus,maculatus,MullidaePseudupeneusmaculatus,Mullidaespsp,family,Macroinvertivore,Microinvertivore,3.3,3.18
tiger grouper,Serranidae,Mycteroperca,tigris,SerranidaeMycteropercatigris,SerranidaeMycteropercasp,genus,Piscivore-Invertivore,Apex predator,4.5,4.5
tilefish,Malacanthidae,Malacanthus,plumieri,MalacanthidaeMalacanthusplumieri,Labridaespsp,order,Macroinvertivore,Macroinvertivore,3.4,3.38
tobaccofish,Serranidae,Serranus,tabacarius,SerranidaeSerranustabacarius,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
tomtate,Haemulidae,Haemulon,aurolineatum,HaemulidaeHaemulonaurolineatum,HaemulidaeHaemulonsp,genus,Macroinvertivore,Macroinvertivore,3.5,3.18
trumpetfish,Aulostomidae,Aulostomus,maculatus,AulostomidaeAulostomusmaculatus,Syngnathidaespsp,order,Piscivore-Invertivore,Piscivore Invertivore,4.3,4.26
trunkfish,Ostraciidae,Lactophrys,trigonus,OstraciidaeLactophrystrigonus,Ostraciidaespsp,family,omnivore,Macroinvertivore,3.5,3.35
white grouper,Serranidae,Mycteroperca,cidi,SerranidaeMycteropercacidi,SerranidaeMycteropercasp,genus,Piscivore-Invertivore,Apex predator,4.5,4.5
white grunt,Haemulidae,Haemulon,plumieri,HaemulidaeHaemulonplumieri,HaemulidaeHaemulonplumieri,species,Macroinvertivore,Piscivore Invertivore,3.5,3.6
white spotted filefish,Monacanthidae,Cantherhines,macrocerus,MonacanthidaeCantherhinessp,Tetraodontiformesspsp,order,Microinvertivore,Omnivore,2.6,3.15
yellow goatfish,Mullidae,Mulloidichthys,martinicus,MullidaeMulloidichthysmartinicus,Mullidaespsp,family,Macroinvertivore,Microinvertivore,3.3,3.18
yellow jack,Carangidae,Caranx,bartholomaei,CarangidaeCaranxbartholomaei,CarangidaeCaranxsp,genus,Piscivore,Piscivore Invertivore,4.5,4.39
yellowbelly hamlet,Serranidae,Hypoplectrus,aberrans,SerranidaeHypoplectrusaberrans,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
yellowfin grouper,Serranidae,Mycteroperca,venenosa,SerranidaeMycteropercavenenosa,SerranidaeMycteropercasp,genus,Piscivore-Invertivore,Apex predator,4.5,4.5
yellowfin mojarra,Gerreidea,Gerres,cinereus,GerreidaeGerrescinereus,GerreidaeGerrescinereus,genus,omnivore,Macroinvertivore,2.8,3.32
yellowhead wrasse,Labridae,Halichoeres,garnoti,LabridaeHalichoeresgarnoti,Labridaespsp,family,Macroinvertivore,Macroinvertivore,3.4,3.38
yellowmouth grouper,Serranidae,Mycteroperca,interstitialis,SerranidaeMycteropercainterstitialis,SerranidaeMycteropercasp,genus,Piscivore-Invertivore,Apex predator,4.5,4.5
yellowtail damselfish,Pomacentridae,Microspathodon,chrysurus,PomacentridaeMicrospathodonchrysurus,Pomacentridaespsp,family,Herbivores,Herbivore,2.1,2.11
yellowtail hamlet,Serranidae,Hypoplectrus,chlorurus,SerranidaeHypoplectruschlorurus,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
yellowtail snapper,Lutjanidae,Ocyurus,chrysurus,LutjanidaeOcyuruschrysurus,LutjanidaeOcyurussp,genus,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.99
yhead wrasse,Labridae,Halichoeres,garnoti,LabridaeHalichoeresgarnoti,Labridaespsp,family,Macroinvertivore,Macroinvertivore,3.4,3.38
,Acanthuridae,Acanthurus,sp,AcanthuridaeAcanthurussp,AcanthuridaeAcanthurussp,species,Herbivores,Herbivore,2,2